department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW505,SOC WELF RES,,https://myplan.uw.edu/course/#/courses/SOCW505
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW511,SW WITH FAM/GROUPS,,https://myplan.uw.edu/course/#/courses/SOCW511
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW512,COMMUNITY & POL PRAC,,https://myplan.uw.edu/course/#/courses/SOCW512
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW519,POLICY/SRVCS: H/MH,,https://myplan.uw.edu/course/#/courses/SOCW519
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW524,FOUNDATION PRACT,,https://myplan.uw.edu/course/#/courses/SOCW524
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW525,ADVANCED PRACTICUM,,https://myplan.uw.edu/course/#/courses/SOCW525
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW527,GLOBALIZATION,,https://myplan.uw.edu/course/#/courses/SOCW527
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW531,CHILD MENTAL HLTH,,https://myplan.uw.edu/course/#/courses/SOCW531
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW532,CHILD WELFARE,,https://myplan.uw.edu/course/#/courses/SOCW532
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW537,EMPRMT PRAC REFUGEES,,https://myplan.uw.edu/course/#/courses/SOCW537
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW541,SOC W HEALTH PRACT,,https://myplan.uw.edu/course/#/courses/SOCW541
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW545,EVIDENCE BASED PRACT,,https://myplan.uw.edu/course/#/courses/SOCW545
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW552,FIN MGMT HUM SRCVS,,https://myplan.uw.edu/course/#/courses/SOCW552
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW556,FAMILY HEALING,,https://myplan.uw.edu/course/#/courses/SOCW556
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW561,POLICY ANALYSIS,,https://myplan.uw.edu/course/#/courses/SOCW561
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW571,MENTAL DISORDERS,,https://myplan.uw.edu/course/#/courses/SOCW571
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW572,ADDCTN:PHARM/TRTMNT ,,https://myplan.uw.edu/course/#/courses/SOCW572
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW574,COLLAB COMMNTY EVAL ,,https://myplan.uw.edu/course/#/courses/SOCW574
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW576,ANTIABLEIST PRACTICE,,https://myplan.uw.edu/course/#/courses/SOCW576
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW586,POLICY ADVOCACY,,https://myplan.uw.edu/course/#/courses/SOCW586
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW588,SOC WORK IN SCHOOLS ,,https://myplan.uw.edu/course/#/courses/SOCW588
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW596,TOPICS SOCIAL WORK,,https://myplan.uw.edu/course/#/courses/SOCW596
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW598,INTEGRATIVE SEMINAR ,,https://myplan.uw.edu/course/#/courses/SOCW598
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW599,IND STDY SOC WK,,https://myplan.uw.edu/course/#/courses/SOCW599
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/SOCW600
Social Work (MSW) (SOC W),SOC W,https://www.washington.edu/students/timeschd/WIN2021/socwk.html,SOCW700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/SOCW700
