department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC110,SURVEY SOCIOLOGY,I&S,https://myplan.uw.edu/course/#/courses/SOC110
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC201,SPECIAL TOPICS,I&S,https://myplan.uw.edu/course/#/courses/SOC201
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC221,STAT FOR SOC SCI,"NW,QSR",https://myplan.uw.edu/course/#/courses/SOC221
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC230,US HEALTH DISPARITY ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/SOC230
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC240,INTRO SOC PSYCH,I&S,https://myplan.uw.edu/course/#/courses/SOC240
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC250,MEDIA AND SOCIETY,I&S,https://myplan.uw.edu/course/#/courses/SOC250
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC260,AF-AM FAMILIES,"I&S,DIV",https://myplan.uw.edu/course/#/courses/SOC260
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC266,INTRO LABOR STUDIES ,I&S,https://myplan.uw.edu/course/#/courses/SOC266
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC271,SOC DEVE/SOC CNTRL,I&S,https://myplan.uw.edu/course/#/courses/SOC271
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC292,PUBLIC SCHL IN AMER ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/SOC292
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC300,FOUND SOC INQUIRY,I&S,https://myplan.uw.edu/course/#/courses/SOC300
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC316,SOCIOLOGICAL THEORY ,I&S,https://myplan.uw.edu/course/#/courses/SOC316
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC352,THE FAMILY,I&S,https://myplan.uw.edu/course/#/courses/SOC352
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC360,INTRO SOC STRAT,"I&S,DIV",https://myplan.uw.edu/course/#/courses/SOC360
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC368,SOC BLACK AMERICANS ,I&S,https://myplan.uw.edu/course/#/courses/SOC368
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC371,CRIMINOLOGY,I&S,https://myplan.uw.edu/course/#/courses/SOC371
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC401,SPECIAL TOPICS,I&S,https://myplan.uw.edu/course/#/courses/SOC401
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC404,CIVIC INTERN PROG,I&S,https://myplan.uw.edu/course/#/courses/SOC404
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC420,SOCIOLOGY OF FOOD,I&S,https://myplan.uw.edu/course/#/courses/SOC420
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC430,SOC DETERMIN HEALTH ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/SOC430
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC434,DEMOGRAPHIC ASIA,I&S,https://myplan.uw.edu/course/#/courses/SOC434
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC468,OCCUPATIONS & PROF,I&S,https://myplan.uw.edu/course/#/courses/SOC468
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC497,HONORS SEMINAR,I&S,https://myplan.uw.edu/course/#/courses/SOC497
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/SOC499
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC501,PROSEMINAR,,https://myplan.uw.edu/course/#/courses/SOC501
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC505,SOCIAL STATISTICS,,https://myplan.uw.edu/course/#/courses/SOC505
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC508,LOGIC SOC INQUIRY,,https://myplan.uw.edu/course/#/courses/SOC508
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC512,MATH FOR SOC SCIS,,https://myplan.uw.edu/course/#/courses/SOC512
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC533,RSCH MTHD DEMOGRPHY ,,https://myplan.uw.edu/course/#/courses/SOC533
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC534,STAT METHODS SPATIAL,,https://myplan.uw.edu/course/#/courses/SOC534
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC560,HIERARCH MODELING SS,,https://myplan.uw.edu/course/#/courses/SOC560
Sociology (SOC),SOC,https://www.washington.edu/students/timeschd/WIN2021/soc.html,SOC589,SP TOPICS MACROSOCL ,,https://myplan.uw.edu/course/#/courses/SOC589
