department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN102,ELEMENTARY SPANISH,,https://myplan.uw.edu/course/#/courses/SPAN102
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN103,ELEMENTARY SPANISH,,https://myplan.uw.edu/course/#/courses/SPAN103
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN201,INTERMEDIATE SPAN,VLPA,https://myplan.uw.edu/course/#/courses/SPAN201
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN202,INTERMEDIATE SPAN,VLPA,https://myplan.uw.edu/course/#/courses/SPAN202
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN203,INTERMEDIATE SPAN,VLPA,https://myplan.uw.edu/course/#/courses/SPAN203
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN301,ADVANCED SPANISH,VLPA,https://myplan.uw.edu/course/#/courses/SPAN301
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN302,ADVANCED SPANISH,VLPA,https://myplan.uw.edu/course/#/courses/SPAN302
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN303,ADVANCED SPANISH,VLPA,https://myplan.uw.edu/course/#/courses/SPAN303
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN314,FOR HERITAGE STDNTS ,VLPA,https://myplan.uw.edu/course/#/courses/SPAN314
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN315,HERITAGE STDNTS II,VLPA,https://myplan.uw.edu/course/#/courses/SPAN315
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN318,DONQUIXOTE IN ENG,VLPA,https://myplan.uw.edu/course/#/courses/SPAN318
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN321,INTRO LITRARY STDS,VLPA,https://myplan.uw.edu/course/#/courses/SPAN321
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN322,HISPANIC CLTR STDS,VLPA/I&S,https://myplan.uw.edu/course/#/courses/SPAN322
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN332,CHICANO FILM,VLPA/I&S,https://myplan.uw.edu/course/#/courses/SPAN332
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN390,SUPERVISED STUDY,,https://myplan.uw.edu/course/#/courses/SPAN390
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN392,EXPERIENTIAL LEARN,,https://myplan.uw.edu/course/#/courses/SPAN392
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN408,SPAN TRANSLATION,VLPA,https://myplan.uw.edu/course/#/courses/SPAN408
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN460,SEPHARDIC CULTURE,VLPA/I&S,https://myplan.uw.edu/course/#/courses/SPAN460
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN466,CHIC LIT FICTION,VLPA,https://myplan.uw.edu/course/#/courses/SPAN466
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN490,HONORS SEMINAR,VLPA,https://myplan.uw.edu/course/#/courses/SPAN490
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN492,AUTHOR IN LATAM LIT ,VLPA,https://myplan.uw.edu/course/#/courses/SPAN492
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN499,SPEC TOPICS,,https://myplan.uw.edu/course/#/courses/SPAN499
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN591,LIT PROB-MID AGES,,https://myplan.uw.edu/course/#/courses/SPAN591
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN598,LIT PROB-LAT AMER,,https://myplan.uw.edu/course/#/courses/SPAN598
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/SPAN600
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN610,GRAD EXAMS READING,,https://myplan.uw.edu/course/#/courses/SPAN610
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN700,MASTER'S THESIS,,https://myplan.uw.edu/course/#/courses/SPAN700
Spanish (SPAN),SPAN,https://www.washington.edu/students/timeschd/WIN2021/spanish.html,SPAN800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/SPAN800
