department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC302,PHONETICS,VLPA,https://myplan.uw.edu/course/#/courses/SPHSC302
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC305,DEV COM & SWALL DIS ,NW,https://myplan.uw.edu/course/#/courses/SPHSC305
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC306,ACQ COMM & SWALL DIS,NW,https://myplan.uw.edu/course/#/courses/SPHSC306
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC371,HEARING DISORDERS,I&S/NW,https://myplan.uw.edu/course/#/courses/SPHSC371
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC391,PRACTCM IN AUDIOLGY ,,https://myplan.uw.edu/course/#/courses/SPHSC391
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC481,MGMT HEARING LOSS,NW,https://myplan.uw.edu/course/#/courses/SPHSC481
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC495,GUIDED OBSERVATIONS ,,https://myplan.uw.edu/course/#/courses/SPHSC495
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC498,HONORS RESEARCH,,https://myplan.uw.edu/course/#/courses/SPHSC498
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/SPHSC499
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC506,RESEARCH METHODS,,https://myplan.uw.edu/course/#/courses/SPHSC506
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC529,BIRTH-TO-5 COMM DIS ,,https://myplan.uw.edu/course/#/courses/SPHSC529
Speech and Hearing Sciences (SPHSC),SPHSC,https://www.washington.edu/students/timeschd/WIN2021/sphsc.html,SPHSC532,LANG & COG-COMM DIS ,,https://myplan.uw.edu/course/#/courses/SPHSC532
