department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH380,PH HISTORY,,https://myplan.uw.edu/course/#/courses/SPH380
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH381,PH SCIENCE,,https://myplan.uw.edu/course/#/courses/SPH381
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH480,PH RESEARCH METHODS ,,https://myplan.uw.edu/course/#/courses/SPH480
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH481,PH ETHICS & POLICY,,https://myplan.uw.edu/course/#/courses/SPH481
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH489,STRUCTURAL RACISM PH,DIV,https://myplan.uw.edu/course/#/courses/SPH489
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH491,CAPSTONE I,,https://myplan.uw.edu/course/#/courses/SPH491
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH492,CAPSTONE II,,https://myplan.uw.edu/course/#/courses/SPH492
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH494,PH HONORS SEMINAR,,https://myplan.uw.edu/course/#/courses/SPH494
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH495,PH INTERNSHIP,,https://myplan.uw.edu/course/#/courses/SPH495
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH497,PH SPECIAL ELECTIVE ,,https://myplan.uw.edu/course/#/courses/SPH497
School of Public Health (SPH),SPH,https://www.washington.edu/students/timeschd/WIN2021/sph.html,SPH499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/SPH499
