department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT180,INTRO DATA SCIENCE,QSR,https://myplan.uw.edu/course/#/courses/STAT180
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT220,STAT REASONING,"NW,QSR",https://myplan.uw.edu/course/#/courses/STAT220
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT221,STAT FOR SOC SCI,"NW,QSR",https://myplan.uw.edu/course/#/courses/STAT221
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT302,STAT SOFTWARE APPL,,https://myplan.uw.edu/course/#/courses/STAT302
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT311,ELEMNTS STAT METHOD ,"NW,QSR",https://myplan.uw.edu/course/#/courses/STAT311
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT316,DESIGN EXPRMNTS,NW,https://myplan.uw.edu/course/#/courses/STAT316
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT341,PROB & MATH STAT 2,NW,https://myplan.uw.edu/course/#/courses/STAT341
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT390,STAT MTHDS ENGR SCI ,NW,https://myplan.uw.edu/course/#/courses/STAT390
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT394,PROBABILITY I,NW,https://myplan.uw.edu/course/#/courses/STAT394
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT395,PROBABILITY II,NW,https://myplan.uw.edu/course/#/courses/STAT395
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT423,APPL REGRESS ANOVA,NW,https://myplan.uw.edu/course/#/courses/STAT423
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT425,INTRO NONPARAMETRIC ,NW,https://myplan.uw.edu/course/#/courses/STAT425
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT498,SPECIAL TOPICS,NW,https://myplan.uw.edu/course/#/courses/STAT498
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/STAT499
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT504,APPLIED REGRESSION,,https://myplan.uw.edu/course/#/courses/STAT504
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT513,STATISTCAL INFERNCE ,,https://myplan.uw.edu/course/#/courses/STAT513
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT517,STOCHASTIC MODELING ,,https://myplan.uw.edu/course/#/courses/STAT517
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT522,ADV PROBABILITY,,https://myplan.uw.edu/course/#/courses/STAT522
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT538,STATISTICAL LEARNING,,https://myplan.uw.edu/course/#/courses/STAT538
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT554,STAT METHODS SPATIAL,,https://myplan.uw.edu/course/#/courses/STAT554
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT560,HIERARCH MODELING SS,,https://myplan.uw.edu/course/#/courses/STAT560
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT571,REGR METHODS: DEPT,,https://myplan.uw.edu/course/#/courses/STAT571
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT582,ADV THRY STAT INFER ,,https://myplan.uw.edu/course/#/courses/STAT582
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT590,STAT SEMINAR,,https://myplan.uw.edu/course/#/courses/STAT590
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/STAT600
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/STAT700
Statistics (STAT),STAT,https://www.washington.edu/students/timeschd/WIN2021/stat.html,STAT800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/STAT800
