department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP422,GEOSPATIAL ANALYS,,https://myplan.uw.edu/course/#/courses/URBDP422
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP480,PLNG AS PROFESSION,,https://myplan.uw.edu/course/#/courses/URBDP480
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP498,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/URBDP498
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP499,SPECIAL PROJECTS,,https://myplan.uw.edu/course/#/courses/URBDP499
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP501,COMP PLAN IMPLEMENT ,,https://myplan.uw.edu/course/#/courses/URBDP501
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP506,PLAN STUDIO PREP,,https://myplan.uw.edu/course/#/courses/URBDP506
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP510,THRY & METH PLAN I,,https://myplan.uw.edu/course/#/courses/URBDP510
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP514,RACE&SOCIAL JUSTICE ,,https://myplan.uw.edu/course/#/courses/URBDP514
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP522,GEOSPATIAL ANALYSIS ,,https://myplan.uw.edu/course/#/courses/URBDP522
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP532,TPCS TRANSP PLN&PLCY,,https://myplan.uw.edu/course/#/courses/URBDP532
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP538,HEALTH BUILT ENVIR,,https://myplan.uw.edu/course/#/courses/URBDP538
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP547,PROFESSIONAL PROJ,,https://myplan.uw.edu/course/#/courses/URBDP547
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP549,HAZARD MITIGATION,,https://myplan.uw.edu/course/#/courses/URBDP549
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP552,INTRO REAL ESTATE,,https://myplan.uw.edu/course/#/courses/URBDP552
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP554,RE FINANCE INVEST,,https://myplan.uw.edu/course/#/courses/URBDP554
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP557,REAL ESTATE LAW,,https://myplan.uw.edu/course/#/courses/URBDP557
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP564,PLN HIST THRY ETHICS,,https://myplan.uw.edu/course/#/courses/URBDP564
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP573,DIGITAL DESIGN,,https://myplan.uw.edu/course/#/courses/URBDP573
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP586,IMPLEMENT PRES,,https://myplan.uw.edu/course/#/courses/URBDP586
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP592,DOCTORAL SMNR II,,https://myplan.uw.edu/course/#/courses/URBDP592
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP598,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/URBDP598
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/URBDP600
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/URBDP700
Urban Planning (URBDP),URBDP,https://www.washington.edu/students/timeschd/WIN2021/urbdes.html,URBDP800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/URBDP800
