department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/UROL498
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/UROL499
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL501P,P-UROL PRECEP,,https://myplan.uw.edu/course/#/courses/UROL501P
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL600,INDEP STUDY,,https://myplan.uw.edu/course/#/courses/UROL600
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL678P,P-UROL CLRKSHP IDAHO,,https://myplan.uw.edu/course/#/courses/UROL678P
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL682P,P-UROL CLKSHP SPOK,,https://myplan.uw.edu/course/#/courses/UROL682P
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL683P,P-UROL CLKSHP BOISE ,,https://myplan.uw.edu/course/#/courses/UROL683P
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL684P,P-UROL CLK BILLINGS ,,https://myplan.uw.edu/course/#/courses/UROL684P
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL686P,P-UROL CLRK BOZEMAN ,,https://myplan.uw.edu/course/#/courses/UROL686P
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL687P,P-UROL CLRKSHP NWH,,https://myplan.uw.edu/course/#/courses/UROL687P
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL688,ADV PAT CARE BOZEMAN,,https://myplan.uw.edu/course/#/courses/UROL688
Urology (UROL),UROL,https://www.washington.edu/students/timeschd/WIN2021/uro.html,UROL699P,P-WWAMI UROL ELECT,,https://myplan.uw.edu/course/#/courses/UROL699P
