"department_name","department_url"
"AFRAM","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=AFRAM"
"AES","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=AES"
"AAS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=AAS"
"CHSTU","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CHSTU"
"SWA","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=SWA"
"TAGLG","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=TAGLG"
"AIS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=AIS"
"ANTH","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ANTH"
"ARCHY","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ARCHY"
"BIO A","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=BIO%20A"
"AMATH","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=AMATH"
"CFRM","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CFRM"
"ART","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ART"
"ART H","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ART%20H"
"DESIGN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=DESIGN"
"ARTSCI","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ARTSCI"
"ARTS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ARTS"
"LIT","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=LIT"
"ASIAN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ASIAN"
"BENG","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=BENG"
"CHIN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CHIN"
"HINDI","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HINDI"
"INDN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=INDN"
"INDO","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=INDO"
"JAPAN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=JAPAN"
"KOREAN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=KOREAN"
"SNKRT","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=SNKRT"
"URDU","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=URDU"
"VIET","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=VIET"
"ASTBIO","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ASTBIO"
"ASTR","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ASTR"
"BIOL","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=BIOL"
"CS&SS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CS%26SS"
"CHEM","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CHEM"
"CMS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CMS"
"C LIT","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=C%20LIT"
"CL AR","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CL%20AR"
"CL LI","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CL%20LI"
"CLAS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CLAS"
"GREEK","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=GREEK"
"LATIN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=LATIN"
"COM","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=COM"
"COMMLD","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=COMMLD"
"CHID","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CHID"
"CSDE","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CSDE"
"DANCE","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=DANCE"
"DXARTS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=DXARTS"
"DIS ST","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=DIS%20ST"
"DRAMA","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=DRAMA"
"ECON","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ECON"
"ENGL","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ENGL"
"FRENCH","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=FRENCH"
"ITAL","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ITAL"
"GWSS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=GWSS"
"GEN ST","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=GEN%20ST"
"INDIV","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=INDIV"
"GEOG","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=GEOG"
"GERMAN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=GERMAN"
"HSTAM","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HSTAM"
"HSTCMP","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HSTCMP"
"HSTRY","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HSTRY"
"HSTAFM","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HSTAFM"
"HSTAS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HSTAS"
"HSTLAC","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HSTLAC"
"HSTEU","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HSTEU"
"HSTAA","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HSTAA"
"HUM","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HUM"
"INTSCI","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=INTSCI"
"ISS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ISS"
"ARCTIC","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ARCTIC"
"RELIG","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=RELIG"
"JSIS D","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=JSIS%20D"
"JEW ST","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=JEW%20ST"
"JSIS A","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=JSIS%20A"
"JSIS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=JSIS"
"JSIS B","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=JSIS%20B"
"JSIS E","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=JSIS%20E"
"LSJ","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=LSJ"
"ASL","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ASL"
"LING","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=LING"
"MATH","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=MATH"
"MUSAP","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=MUSAP"
"MUSIC","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=MUSIC"
"MUSED","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=MUSED"
"MUSEN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=MUSEN"
"MUHST","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=MUHST"
"MUSICP","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=MUSICP"
"ARAB","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ARAB"
"ARAMIC","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ARAMIC"
"BIBHEB","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=BIBHEB"
"CHGTAI","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CHGTAI"
"COPTIC","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=COPTIC"
"EGYPT","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=EGYPT"
"GEEZ","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=GEEZ"
"KAZAKH","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=KAZAKH"
"KYRGYZ","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=KYRGYZ"
"MODHEB","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=MODHEB"
"NEAR E","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=NEAR%20E"
"PRSAN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=PRSAN"
"TURKIC","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=TURKIC"
"TKISH","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=TKISH"
"UGARIT","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=UGARIT"
"UYGUR","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=UYGUR"
"UZBEK","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=UZBEK"
"NEUSCI","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=NEUSCI"
"ETHICS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ETHICS"
"HPS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=HPS"
"PHIL","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=PHIL"
"PHYS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=PHYS"
"POL S","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=POL%20S"
"PSYCAP","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=PSYCAP"
"PSYCLN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=PSYCLN"
"PSYCH","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=PSYCH"
"DANISH","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=DANISH"
"ESTO","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ESTO"
"FINN","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=FINN"
"ICEL","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=ICEL"
"LATV","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=LATV"
"LITH","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=LITH"
"NORW","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=NORW"
"SCAND","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=SCAND"
"SWED","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=SWED"
"BCMS","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=BCMS"
"BULGR","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=BULGR"
"CZECH","https://myplan.uw.edu/course/#/courses?campus=seattle&isSectionSearch=true&qs=CZECH"
