CSE_course_num,CSE_name,CSE_credit_types,CSE_url
CSE 142,COMPUTER PRGRMNG I,"NW,QSR",https://www.washington.edu/students/crscat/cse.html#cse142
CSE 143,COMPUTER PRGRMNG II,"NW,QSR",https://www.washington.edu/students/crscat/cse.html#cse143
CSE 160,DATA PROGRAMMING,"NW,QSR",https://www.washington.edu/students/crscat/cse.html#cse160
CSE 163,INTERM DATA PROGRAM,,https://www.washington.edu/students/crscat/cse.html#cse163
CSE 190,CURRENT TOPICS CSE,,https://www.washington.edu/students/crscat/cse.html#cse190
CSE 301,CSE INTERNSHIP,,https://www.washington.edu/students/crscat/cse.html#cse301
CSE 311,FOUNDATIONS COMP I,QSR,https://www.washington.edu/students/crscat/cse.html#cse311
CSE 312,FOUNDATIONS COMP II,QSR,https://www.washington.edu/students/crscat/cse.html#cse312
CSE 331,SW DESIGN & IMPL,,https://www.washington.edu/students/crscat/cse.html#cse331
CSE 332,DATA STRUC & PRLLEL,,https://www.washington.edu/students/crscat/cse.html#cse332
CSE 333,SYSTEMS PROGRAMMING,,https://www.washington.edu/students/crscat/cse.html#cse333
CSE 340,INTERACTION PROG,,https://www.washington.edu/students/crscat/cse.html#cse340
CSE 341,PROGRAMMING LANGS,,https://www.washington.edu/students/crscat/cse.html#cse341
CSE 344,INTRO DATA MGMT,,https://www.washington.edu/students/crscat/cse.html#cse344
CSE 351,HW SW INTERFACE,,https://www.washington.edu/students/crscat/cse.html#cse351
CSE 371,DIGITAL DESIGN,,https://www.washington.edu/students/crscat/cse.html#cse371
CSE 373,DATA STRUC/ALGORITH,,https://www.washington.edu/students/crscat/cse.html#cse373
CSE 374,PROG CONCEPTS TOOLS,,https://www.washington.edu/students/crscat/cse.html#cse374
CSE 390,SPECIAL TOPICS CSE,,https://www.washington.edu/students/crscat/cse.html#cse390
CSE 391,SOFTWARE TOOLS,,https://www.washington.edu/students/crscat/cse.html#cse391
CSE 412,INTRO DATA VIS,,https://www.washington.edu/students/crscat/cse.html#cse412
CSE 414,DATABASE SYSTEMS,,https://www.washington.edu/students/crscat/cse.html#cse414
CSE 415,ARTIF INTELLIGENCE,NW,https://www.washington.edu/students/crscat/cse.html#cse415
CSE 417,ALG & COMP COMPLEX,,https://www.washington.edu/students/crscat/cse.html#cse417
CSE 421,INTRO TO ALGORITHMS,,https://www.washington.edu/students/crscat/cse.html#cse421
CSE 427,COMP BIOLOGY,,https://www.washington.edu/students/crscat/cse.html#cse427
CSE 440,INTRODUCTION TO HCI,,https://www.washington.edu/students/crscat/cse.html#cse440
CSE 444,DATABASE INTERNALS,,https://www.washington.edu/students/crscat/cse.html#cse444
CSE 446,MACHINE LEARNING,,https://www.washington.edu/students/crscat/cse.html#cse446
CSE 447,NAT LANG PROCESSING,,https://www.washington.edu/students/crscat/cse.html#cse447
