department_name,department_url,department_course_num,department_course_name,department_course_credit_type,department_course_url
Arctic Studies (ARCTIC),https://www.washington.edu/students/timeschd/WIN2021/arctic.html,ARCTIC 220,ARCTIC HISTORIES,I&S,https://www.washington.edu/students/crscat/arctic.html#arctic220
Arctic Studies (ARCTIC),https://www.washington.edu/students/timeschd/WIN2021/arctic.html,ARCTIC 302,ADVANCED INUKTITUT,VLPA,https://www.washington.edu/students/crscat/arctic.html#arctic302
Arctic Studies (ARCTIC),https://www.washington.edu/students/timeschd/WIN2021/arctic.html,ARCTIC 401,ARCTIC ISSUES,I&S,https://www.washington.edu/students/crscat/arctic.html#arctic401
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 211,HONORS HUMANITIES 2,VLPA,https://www.washington.edu/students/crscat/hnrs.html#honors211
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 221,HONORS SCIENCE 2,NW,https://www.washington.edu/students/crscat/hnrs.html#honors221
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 231,HONORS SOC SCI 2,I&S,https://www.washington.edu/students/crscat/hnrs.html#honors231
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 241,HONORS FINE ARTS 2,VLPA,https://www.washington.edu/students/crscat/hnrs.html#honors241
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 345,INTER WRITING SEM,C,https://www.washington.edu/students/crscat/hnrs.html#honors345
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 391,H-INTERDIS STDY I,VLPA/I&S/NW,https://www.washington.edu/students/crscat/hnrs.html#honors391
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 394,H-INTERDIS STDY IV,VLPA/I&S,https://www.washington.edu/students/crscat/hnrs.html#honors394
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 396,SPEC TOPICS NAT SCI,NW,https://www.washington.edu/students/crscat/hnrs.html#honors396
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 397,H-SPEC TPCS SOC SCI,I&S,https://www.washington.edu/students/crscat/hnrs.html#honors397
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 496,H-CORE INTEGRATION,,https://www.washington.edu/students/crscat/hnrs.html#honors496
Honors (HONORS),https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS 499,IND STUDY/RESEARCH,,https://www.washington.edu/students/crscat/hnrs.html#honors499
Leadership (LEAD),https://www.washington.edu/students/timeschd/WIN2021/lead.html,LEAD 495,LEAD E-PORT,,https://www.washington.edu/students/crscat/lead.html#lead495
University Academy (ACADEM),https://www.washington.edu/students/timeschd/WIN2021/academ.html,ACADEM 198,RESEARCH SEMINARS,,https://www.washington.edu/students/crscat/academ.html#academ198
Afro-American Studies (AFRAM),https://www.washington.edu/students/timeschd/WIN2021/afamst.html,AFRAM 150,INTRO AF AM HISTORY,I&S,https://www.washington.edu/students/crscat/afamst.html#afram150
Afro-American Studies (AFRAM),https://www.washington.edu/students/timeschd/WIN2021/afamst.html,AFRAM 260,AF-AM FAMILIES,"I&S,DIV",https://www.washington.edu/students/crscat/afamst.html#afram260
Afro-American Studies (AFRAM),https://www.washington.edu/students/timeschd/WIN2021/afamst.html,AFRAM 315,BLACK IDEN/POL POWR,I&S,https://www.washington.edu/students/crscat/afamst.html#afram315
Afro-American Studies (AFRAM),https://www.washington.edu/students/timeschd/WIN2021/afamst.html,AFRAM 334,CVL RTS & BLK POWER,"VLPA/I&S,DIV",https://www.washington.edu/students/crscat/afamst.html#afram334
Afro-American Studies (AFRAM),https://www.washington.edu/students/timeschd/WIN2021/afamst.html,AFRAM 499,IND STUDY & RESEARCH,,https://www.washington.edu/students/crscat/afamst.html#afram499
American Ethnic Studies (AES),https://www.washington.edu/students/timeschd/WIN2021/aes.html,AES 151,AMER ETHNIC GROUPS,"I&S,DIV",https://www.washington.edu/students/crscat/aes.html#aes151
American Ethnic Studies (AES),https://www.washington.edu/students/timeschd/WIN2021/aes.html,AES 489,BLACK CULTL STUDIES,I&S,https://www.washington.edu/students/crscat/aes.html#aes489
American Ethnic Studies (AES),https://www.washington.edu/students/timeschd/WIN2021/aes.html,AES 494,COMMUNITY INTERN,,https://www.washington.edu/students/crscat/aes.html#aes494
American Ethnic Studies (AES),https://www.washington.edu/students/timeschd/WIN2021/aes.html,AES 496,HNRS SENIOR THESIS,,https://www.washington.edu/students/crscat/aes.html#aes496
American Ethnic Studies (AES),https://www.washington.edu/students/timeschd/WIN2021/aes.html,AES 498,AES SPECIAL TOPICS,I&S,https://www.washington.edu/students/crscat/aes.html#aes498
